Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,FM_score,Segment
12346,529,2,169.36,1,2,1,4,2,Hibernating
12347,2,8,4921.53,5,4,5,14,4,Champions
12348,75,5,1658.3999999999999,3,4,4,11,4,Loyal Customers
12349,18,3,3678.69,5,3,5,13,4,Champions
12350,310,1,294.4,2,1,2,5,2,Hibernating
12351,375,1,300.93,2,1,2,5,2,Hibernating
12352,36,8,1609.21,4,4,4,12,4,Loyal Customers
12353,204,2,406.76,2,2,2,6,2,Hibernating
12354,232,1,1079.4,2,1,3,6,2,Hibernating
12355,214,2,947.61,2,2,3,7,2,Hibernating
12356,22,6,5611.73,4,4,5,13,4,Loyal Customers
12357,33,2,17437.66,4,2,5,11,4,Loyal Customers
12358,1,5,3447.07,5,4,5,14,4,Champions
12359,57,10,8765.29,4,5,5,14,5,Loyal Customers
12360,52,6,3612.89,4,4,5,13,4,Loyal Customers
12361,287,4,451.25,2,3,2,7,2,Hibernating
12362,3,10,4688.38,5,5,5,15,5,Champions
12363,109,2,552.0,3,2,2,7,2,About to Sleep
12364,7,4,1208.1,5,3,4,12,4,Champions
12365,291,1,320.69,2,1,2,5,2,Hibernating
12366,633,1,500.24,1,1,2,4,2,Hibernating
12367,4,1,150.9,5,1,1,7,1,New Customers
12368,628,1,917.7,1,1,3,5,2,Hibernating
12369,413,3,1511.15,1,3,4,8,4,At Risk
12370,51,7,3956.56,4,4,5,13,4,Loyal Customers
12371,59,4,3347.38,3,3,5,11,4,Loyal Customers
12372,71,3,1196.04,3,3,4,10,4,Loyal Customers
12373,311,3,927.6500000000001,2,3,3,8,3,At Risk
12374,25,3,2669.22,4,3,4,11,4,Loyal Customers
12375,10,2,377.5,5,2,2,9,2,Potential Loyalists
12376,389,2,383.15,2,2,2,6,2,Hibernating
12377,315,4,3266.32,2,3,5,10,4,At Risk
12378,129,2,5416.32,3,2,5,10,4,Loyal Customers
12379,81,4,1470.22,3,3,4,10,4,Loyal Customers
12380,21,8,7175.25,4,4,5,13,4,Loyal Customers
12381,4,3,1459.81,5,3,4,12,4,Champions
12383,184,5,1628.56,3,4,4,11,4,Loyal Customers
12384,28,2,425.27000000000004,4,2,2,8,2,Potential Loyalists
12385,379,1,1668.4,2,1,4,7,2,Hibernating
12386,337,2,401.9,2,2,2,6,2,Hibernating
12387,415,1,143.94,1,1,1,3,1,Hibernating
12388,15,8,3901.11,5,4,5,14,4,Champions
12389,402,3,1433.33,2,3,4,9,4,At Risk
12390,79,1,504.84,3,1,2,6,2,About to Sleep
12391,21,6,2724.84,4,4,4,12,4,Loyal Customers
12392,591,1,234.75000000000003,1,1,1,3,1,Hibernating
12393,72,6,2399.45,3,4,4,11,4,Loyal Customers
12394,63,2,1080.48,3,2,3,8,2,About to Sleep
12395,19,15,4226.32,5,5,5,15,5,Champions
